"","student_id","cumulative_gpa"
"222",60135,4
"223",60162,6
"224",60405,7
"225",60416,5
"226",60519,NA
"227",60809,6
"228",60830,5
"229",61227,5
"230",61236,NA
"231",61352,NA
"232",61911,6
"233",62034,6
"234",62155,6
"235",62278,5
"236",62487,5
"237",62631,5
"238",62975,7
"239",63015,5
"240",63044,4
"241",63112,3.5
"242",63165,4
"243",63295,4
"244",63371,5
"245",63400,5
"246",63467,6
"247",63566,4
"248",63721,6
"249",63827,NA
"250",63856,1.5
"251",63949,7
"252",64275,5
"253",64296,7
"254",64388,4
"255",64427,6
"256",64450,1.5
"257",64767,NA
"258",64901,5
"259",65002,2.5
"260",65656,4
"261",66047,NA
"262",66254,5
"263",66451,6
"264",66577,6
"265",66579,4
"266",66713,6
"267",66892,NA
"268",67182,6
"269",67471,4
"270",67505,5
"271",67539,5
"272",67602,1.5
"273",67685,6
"274",67781,6
"275",67785,4
"276",67986,NA
"277",68011,NA
"278",68107,7
"279",68208,4
"280",68376,5
"281",68417,5
"282",68556,5
"283",69346,NA
"284",69439,NA
"285",69491,4
"286",69494,NA
"287",69703,6
"288",70011,6
"289",70214,0.86
"290",70381,6
"291",70464,4
"292",70495,7
"293",70537,6
"294",70569,5
"295",70608,6
"296",70771,NA
"297",70827,NA
"298",71159,4
"299",71209,4
"300",71252,6
"301",71361,6
"302",71504,6
"303",71578,6
"304",71676,4
"305",71723,2.67
"306",72114,7
"307",72400,6
"308",72609,1.5
"309",72693,6
"310",72864,5
"311",73019,1.5
"312",73489,5
"313",73584,NA
"314",73664,1.5
"315",73874,NA
"316",74113,4
"317",74165,6
"318",74290,NA
"319",74372,1.5
"320",74502,4
"321",74521,4
"322",74524,7
"323",74585,7
"324",74695,7
"325",74734,6
"326",75091,5
"327",75107,7
"328",75255,6
"329",75399,4
"330",75427,4
"331",75454,5
"332",75728,5
"333",76081,2.5
"334",76536,5
"335",76579,2.67
"336",76949,6
"337",77241,NA
"338",77367,5
"339",77692,6
"340",77744,6
"341",77746,5
"342",77763,6
"343",77845,4
"344",77995,5
"345",77998,1.33
"346",78170,4
"347",78255,2.5
"348",78645,5
"349",79261,6
"350",79403,NA
"351",79461,NA
"352",79610,7
"353",79683,NA
"354",80329,2.36
"355",80358,4
"356",80438,4
"357",80448,NA
"358",80491,NA
"359",80717,7
"360",80745,6
"361",80775,6
"362",80868,5.5
"363",80886,NA
"364",81351,1.5
"365",81536,5
"366",81754,NA
"367",82088,6
"368",82201,2.5
"369",82341,6
"370",82535,4
"371",82556,4
"372",82575,7
"373",82741,5
"374",82817,6
"375",83219,5.5
"376",83254,4
"377",83453,NA
"378",83553,4
"379",83588,5
"380",83603,5
"381",84051,6
"382",84245,7
"383",84299,3
"384",84541,5
"385",84576,5
"386",84604,7
"387",84605,3
"388",84664,6
"389",84812,7
"390",85092,4
"391",85144,6
"392",85241,NA
"393",85302,5
"394",85325,NA
"395",85874,NA
"396",86047,1
"397",86291,2
"398",86538,NA
"399",86669,7
"400",87107,4
"401",87152,6
"402",87264,7
"403",87322,6
"404",87431,NA
"405",87732,5
"406",87929,7
"407",88340,NA
"408",88439,6
"409",88490,7
"410",88568,7
"411",88781,4
"412",88910,4
"413",89051,6
"414",89092,5
"415",89188,4
"416",89545,6
"417",89727,4
"418",89778,7
"419",89850,6
"420",89895,5
"421",89904,6
"422",90243,4
"423",90361,5
"424",90537,5
"425",90901,7
"426",90979,1.5
"427",91040,NA
"428",91265,5
"429",91322,5
"430",91354,NA
"431",91470,4
"432",91629,5
"433",91801,NA
"434",92274,NA
"435",92341,5
"436",92391,1.5
"437",92775,1.5
"438",92832,5
"439",92947,6
"440",92993,5
"441",94484,7
"442",94616,5
"443",94749,4
"444",94923,4
"445",94961,2
"446",94964,4
"447",94978,NA
"448",95356,NA
"449",95746,6
"450",95755,NA
"451",95906,7
"452",96117,6
"453",96423,6
"454",96475,6
"455",96538,1.5
"456",96592,6
"457",96729,6
"458",96864,NA
"459",96873,7
"460",96874,6
"461",97006,6
"462",97154,7
"463",97567,7
"464",97865,NA
"465",97939,5
"466",98094,4
"467",98256,NA
"468",98268,6
"469",98313,6
"470",98452,NA
"471",98720,6
"472",98842,1.5
"473",99075,1.5
"474",99088,NA
"475",99151,1.5
"476",99670,7
"477",99799,6
"478",99993,6
"479",100064,7
"480",100282,NA
"481",100561,4
"482",100788,6.4
"483",100893,5
"484",101116,6
"485",101217,2
"486",101279,4
"487",101306,1.5
"488",101420,7
"489",101634,6
"490",101781,5
"491",102028,7
"492",102067,NA
"493",102209,NA
"494",102221,5
"495",102343,6
"496",102806,6
"497",102850,6
"498",102854,7
"499",102952,6
"500",103496,4
"501",103535,6
"502",103800,4
"503",103904,6
"504",104054,7
"505",104213,7
"506",104316,5
"507",104476,6
"508",104480,6
"509",104643,6
"510",104772,2.5
"511",105125,NA
"512",105168,6.6
"513",105413,4
"514",105523,2.75
"515",105527,6
"516",105629,7
"517",105851,7
"518",105883,5
"519",105939,6
"520",106095,5
"521",106247,NA
"522",106553,4
"523",106577,4
"524",106588,6
"525",106793,1.5
"526",107028,2
"527",107084,4
"528",107162,7
"529",107339,6
"530",107455,5
"531",107489,6
"532",107713,NA
"533",107883,NA
"534",108118,6
"535",108207,5
"536",108281,7
"537",108330,4
"538",108377,6
"539",108497,6
"540",108565,NA
"541",108589,6
"542",108760,4
"543",108789,1.5
"544",108799,6
"545",108822,7
"546",108834,NA
"547",108859,5
"548",108872,4
"549",108949,2
"550",109155,5
"551",109372,6
"552",109441,7
"553",109577,3.25
"554",109772,6
"555",109782,NA
"556",109938,7
"557",110085,4
"558",110116,6
"559",110175,4
"560",110200,4
"561",110524,5
"562",110529,NA
"563",110640,6
"564",110789,4
"565",110820,NA
"566",110881,5
"567",110911,5
"568",111113,1.5
"569",111360,0.5
"570",111548,NA
"571",111717,6
"572",111775,7
"573",111926,6
"574",111942,6
"575",111959,NA
"576",112245,5
"577",112441,7
"578",112454,6
"579",113295,6
"580",113565,7
"581",113698,4
"582",113702,NA
"583",113824,5
"584",114017,5
"585",114367,7
"586",114402,7
"587",114500,1.5
"588",114558,5
"589",114999,5
"590",115373,6
"591",115452,6
"592",116290,6
"593",116319,6
"594",116518,5
"595",116529,3.5
"596",116541,4
"597",116603,6
"598",116606,6
"599",116621,7
"600",116631,NA
"601",116692,6
"602",116763,NA
"603",116808,7
"604",117071,1.5
"605",117197,7
"606",117232,5
"607",117281,6
"608",117435,1.6
"609",117510,7
"610",117544,4
"611",117545,6
"612",117699,7
"613",117818,4
"614",117939,NA
"615",118050,5
"616",118098,1.5
"617",118213,1.5
"618",118474,7
"619",118479,6
"620",118532,7
"621",118578,NA
"622",118668,6
"623",118983,4
"624",119310,3
"625",119353,6
"626",119444,1
"627",119471,1.5
"628",119729,NA
"629",119865,7
"630",119898,5
"631",119902,NA
"632",120236,1.5
"633",120611,4
"634",120994,6
"635",120999,5
"636",121000,1.5
"637",121056,NA
"638",121163,NA
"639",121182,6
"640",121349,6
"641",121390,5
"642",122337,4
"643",122392,4
"644",122459,5
"645",122636,1.5
"646",122739,1.5
"647",122846,4
"648",122928,6
"649",123044,5
"650",123053,NA
"651",123087,5
"652",123183,6
"653",123270,5
"654",123462,6
"655",123497,6
"656",123598,3.75
"657",123716,6
"658",123860,6
"659",123957,1.67
"660",124006,5
"661",124064,7
"662",124134,7
"663",124193,7
"664",124304,7
"665",124711,NA
"666",124728,NA
"667",124909,5
"668",124944,7
"669",125018,5
"670",125055,6
"671",125063,6
"672",125407,5
"673",125535,1.5
"674",125777,NA
"675",125830,NA
"676",125996,6
"677",126074,NA
"678",126088,1.5
"679",126322,6
"680",126337,NA
"681",126394,6
"682",126395,4
"683",126411,7
"684",126450,6
"685",126608,4
"686",126713,6
"687",126769,4
"688",126800,7
"689",126812,2
"690",126912,4
"691",127179,NA
"692",127580,6
"693",127582,5
"694",127642,6
"695",127988,5
"696",128072,NA
"697",128132,6
"698",128142,4
"699",128348,NA
"700",128386,5
"701",128510,2.8
"702",128656,5
"703",128678,1.5
"704",128791,NA
"705",128817,NA
"706",128889,6
"707",128929,7
"708",128965,5
"709",128968,6
"710",128971,6
"711",129198,NA
"712",129212,6
"713",129638,NA
"714",129878,1.5
"715",129907,7
"716",129955,NA
"717",129989,7
"718",130003,6
"719",130013,5
"720",130034,6
"721",130403,5
"722",130409,4
"723",130467,4
"724",130547,4
"725",130636,4
"726",130658,5
"727",130671,2
"728",130992,6
"729",131051,6
"730",131145,6.6
"731",131152,1.5
"732",131222,6
"733",131235,NA
"734",131272,5
"735",131314,4
"736",131390,6
"737",131538,7
"738",131597,5
"739",131609,NA
"740",131612,7
"741",131695,NA
"742",131776,6
"743",131820,6
"744",131933,2.5
"745",132123,7
"746",132157,4.5
"747",132401,5
"748",132423,NA
"749",132453,4
"750",132475,6
"751",132477,6
"752",132511,5
"753",132626,NA
"754",132924,1.5
"755",132932,4
"756",132972,4
"757",132976,5
"758",133019,6
"759",133068,7
"760",133104,6.5
"761",133155,7
"762",133185,6
"763",133322,4
"764",133365,6
"765",133419,NA
"766",133718,5
"767",133748,4
"768",133816,5
"769",133922,6
"770",134025,3
"771",134123,7
"772",134143,6
"773",134188,5
"774",134190,NA
"775",134212,6
"776",134243,4
"777",134260,6
"778",134336,6
"779",134563,6
"780",134847,3
"781",134851,4
"782",134920,1.5
"783",134982,1.33
"784",135075,6
"785",135280,7
"786",135330,5.5
"787",135385,4
"788",135400,0.75
"789",135471,6
"790",135763,6
"791",135792,6
"792",135999,NA
"793",136054,6
"794",136135,4
"795",136335,NA
"796",136793,4
"797",136894,5
"798",136944,0.75
"799",137150,NA
"800",137281,4
"801",137603,6
"802",137873,6
"803",137903,4
"804",138204,6
"805",138289,5
"806",138407,NA
"807",138416,5
"808",138704,5
"809",138709,NA
"810",138710,5
"811",138715,3
"812",138861,7
"813",138920,5
"814",138997,1.5
"815",139033,4
"816",139190,7
"817",139206,7
"818",139250,7
"819",139278,7
"820",139329,6
"821",139549,4
"822",139701,7
"823",139843,1.5
"824",139949,7
"825",140060,7
"826",140518,7
"827",140719,4
"828",140807,5
"829",140866,7
"830",140907,6
"831",141301,NA
"832",141355,5
"833",141377,0.57
"834",141430,6
"835",141497,5
"836",141506,6
"837",141648,6
"838",141823,NA
"839",141827,5
"840",141949,6
"841",142092,7
"842",142310,6
"843",142324,5
"844",142326,6
"845",142339,7
"846",142819,4
"847",142935,5
"848",142990,4
"849",143350,7
"850",143711,7
"851",143741,6
"852",143755,7
"853",144448,7
"854",144562,6
"855",144745,5.5
"856",144747,7
"857",144801,5
"858",144895,6
"859",144908,NA
"860",144923,5
"861",144959,NA
"862",145114,2.75
"863",145130,4
"864",145280,4
"865",145282,7
"866",145388,5
"867",145490,1.5
"868",145544,6
"869",145578,NA
"870",145640,7
"871",145770,NA
"872",146165,6
"873",146188,1.5
"874",146485,4
"875",146503,4
"876",146600,6
"877",146651,5
"878",146666,1.5
"879",146679,NA
"880",146738,7
"881",146943,NA
"882",146974,5
"883",147168,6
"884",147307,NA
"885",147328,4
"886",147675,NA
"887",147715,4
"888",147756,5
"889",147793,NA
"890",147876,5
"891",148008,4
"892",148282,1.5
"893",148328,NA
"894",148414,6
"895",148427,5
"896",148993,3
"897",149178,7
"898",149567,NA
"899",149680,7
"900",149693,6
"901",149741,5
"902",149962,5
"903",149964,NA
"904",150121,4
"905",150282,6
"906",150398,7
"907",150578,5
"908",150763,5
"909",151358,4
"910",151465,5
"911",151549,6
"912",151587,NA
"913",151697,6
"914",151745,4
"915",151800,4
"916",151917,3.75
"917",152153,NA
"918",152320,3
"919",152428,4
"920",152524,7
"921",152587,6
"922",152626,4
"923",152668,NA
"924",152671,6
"925",152887,NA
"926",152910,6
"927",152917,7
"928",152929,5
"929",152962,5
"930",152973,5
"931",153110,4
"932",153170,4
"933",153212,6
"934",153611,6
"935",153704,2
"936",153785,7
"937",153788,5
"938",154011,6
"939",154027,5
"940",154057,5
"941",154059,4
"942",154073,1.5
"943",154125,6
"944",154191,7
"945",154540,6
"946",154570,NA
"947",154697,NA
"948",155067,1.5
"949",155158,5
"950",155256,7
"951",155298,5.5
"952",155484,7
"953",155511,7
"954",155550,5
"955",155631,6
"956",155854,6
"957",155938,6
"958",155956,1.5
"959",155963,7
"960",155984,4
"961",156127,5
"962",156171,5
"963",156311,7
"964",156358,NA
"965",156594,6
"966",156783,5
"967",156835,6
"968",157060,5
"969",157225,NA
"970",157276,6
"971",157298,4
"972",157308,5
"973",157310,5
"974",157568,5
"975",157752,4
"976",157795,7
"977",158575,NA
"978",158611,4
"979",158707,NA
"980",158708,7
"981",158831,6
"982",159287,6
"983",159293,7
"984",159484,5
"985",159571,6
"986",159596,NA
"987",159906,4
"988",159925,4
"989",159947,5
"990",159954,NA
"991",160005,6
"992",160026,5
"993",160181,NA
"994",160193,NA
"995",160300,5
"996",160310,1.5
"997",160401,NA
"998",160472,4
"999",160479,6
"1000",160536,6
"1001",160934,5
"1002",160945,7
"1003",160946,6
"1004",161491,6
"1005",161658,4
"1006",161678,1.5
"1007",161781,3.5
"1008",162210,7
"1009",162337,4.5
"1010",162650,1.5
"1011",162809,6
"1012",162984,NA
"1013",163067,4
"1014",163120,6
"1015",163332,4
"1016",163962,NA
"1017",163996,1.5
"1018",164148,6
"1019",164211,7
"1020",164259,5
"1021",164922,7
"1022",164935,6
"1023",164944,4
"1024",164968,5
"1025",165099,4
"1026",165178,0.75
"1027",165226,6
"1028",165243,5
"1029",165376,4
"1030",165421,4
"1031",165509,5
"1032",165617,4
"1033",165647,1.71
"1034",165733,1.33
"1035",165806,1.5
"1036",165823,NA
"1037",165904,7
"1038",166123,5
"1039",166160,7
"1040",166183,5
"1041",166327,6
"1042",166342,6
"1043",166421,6
"1044",166713,6
"1045",166988,5
"1046",167106,4
"1047",167557,NA
"1048",167717,1.5
"1049",167759,4
"1050",167791,6
"1051",167906,5
"1052",167945,NA
"1053",167961,6
"1054",168178,1.5
"1055",168229,7
"1056",168243,NA
"1057",168843,NA
"1058",168936,5
"1059",169008,1.5
"1060",169079,7
"1061",169213,5
"1062",169297,NA
"1063",169380,6
"1064",169400,7
"1065",169490,6
"1066",169515,NA
"1067",169596,5
"1068",169858,5
"1069",169894,3
"1070",169908,5
"1071",170025,2
"1072",170030,7
"1073",170165,6
"1074",170356,NA
"1075",170864,7
"1076",170874,4
"1077",170936,4
"1078",170943,6
"1079",171304,4
"1080",171334,NA
"1081",171549,NA
"1082",171692,1.5
"1083",171751,5
"1084",171843,5
"1085",171896,1.67
"1086",172112,5
"1087",172137,6
"1088",172493,6
"1089",172797,4
"1090",172965,6.71
"1091",173004,2
"1092",173163,1.5
"1093",173316,1.5
"1094",173335,4
"1095",173341,4
"1096",173370,4
"1097",173412,NA
"1098",173710,7
"1099",173834,7
"1100",174010,6
"1101",174024,4
"1102",174094,6
"1103",174222,5
"1104",174436,1.5
"1105",174440,1.5
"1106",174487,4
"1107",174745,5
"1108",174782,6
"1109",174805,NA
"1110",175392,6
"1111",175447,5
"1112",175453,5
"1113",175490,7
"1114",175638,1.5
"1115",175772,NA
"1116",175804,NA
"1117",175932,6
"1118",175940,6
"1119",175991,1.5
"1120",176086,5
"1121",176092,4
"1122",177333,4
"1123",177354,6
"1124",177472,7
"1125",177492,7
"1126",177554,5
"1127",177568,5
"1128",177781,6
"1129",177817,NA
"1130",177967,6
"1131",177981,6
"1132",178020,4
"1133",178072,2.86
"1134",178118,4
"1135",178179,6
"1136",178258,NA
"1137",178496,7
"1138",178738,5
"1139",178963,5
"1140",179073,NA
"1141",179081,1.5
"1142",179254,4
"1143",179297,7
"1144",179605,NA
"1145",179718,5
"1146",179892,6
"1147",179904,4
"1148",180651,6
"1149",180667,5
"1150",180753,4
"1151",180958,5
"1152",180974,1.67
"1153",180976,5
"1154",181251,4
"1155",181316,NA
"1156",181508,7
"1157",181719,NA
"1158",181861,5
"1159",181992,4
"1160",182400,1.5
"1161",182468,5
"1162",182661,6
"1163",182824,5
"1164",182854,4
"1165",183057,5
"1166",183096,4
"1167",183287,NA
"1168",183331,1.5
"1169",183429,4
"1170",183714,5
"1171",183806,7
"1172",183947,1.5
"1173",184137,6
"1174",184271,4
"1175",184409,7
"1176",184473,1.5
"1177",184627,NA
"1178",184720,2.4
"1179",184968,NA
"1180",184972,5
"1181",185021,5
"1182",185024,NA
"1183",185057,1.5
"1184",185127,3.75
"1185",185349,6
"1186",185350,4
"1187",185439,5
"1188",185496,4
"1189",185994,6
"1190",186149,6
"1191",186380,7
"1192",186476,6
"1193",186565,6
"1194",186670,6
"1195",186780,NA
"1196",186988,4
"1197",187100,7
"1198",187199,6
"1199",187257,6
"1200",187435,7
"1201",187601,6
"1202",187623,4
"1203",187663,4
"1204",187793,4
"1205",188026,6
"1206",188152,7
"1207",188251,5
"1208",188260,6
"1209",188273,6
"1210",188278,1.67
"1211",188524,NA
"1212",188662,6.33
"1213",188766,1.5
"1214",188875,4
"1215",189035,6
"1216",189095,4
"1217",189117,7
"1218",189143,7
"1219",189178,4
"1220",189428,7
"1221",189442,NA
"1222",189624,4.5
"1223",189629,5
"1224",189664,6
"1225",189720,1.5
"1226",189879,6
"1227",190279,6
"1228",190352,4
"1229",190418,7
"1230",190565,5
"1231",190653,NA
"1232",190780,3.5
"1233",190910,5
"1234",190930,5
"1235",191000,2
"1236",191195,1.5
"1237",191269,4
"1238",191445,4
"1239",191459,5
"1240",191504,NA
"1241",191590,5
"1242",191732,1.5
"1243",191746,4
"1244",191797,5
"1245",191896,1.5
"1246",191972,5
"1247",191973,4
"1248",192183,5
"1249",192186,4
"1250",192196,4
"1251",192375,4
"1252",192424,6
"1253",192680,7
"1254",192944,6
"1255",193163,2.75
"1256",193193,5
"1257",193215,5
"1258",193310,5
"1259",193822,6
"1260",193834,4
"1261",194163,7
"1262",195096,5
"1263",195221,4
"1264",195234,4
"1265",195246,4
"1266",195252,6
"1267",195262,NA
"1268",195345,4
"1269",195515,6
"1270",195552,7
"1271",195897,7
"1272",195938,7
"1273",195940,1.5
"1274",196132,6
"1275",196189,6
"1276",196266,4
"1277",197240,6
"1278",197412,5
"1279",197486,6
"1280",197527,4
"1281",197536,6
"1282",197538,NA
"1283",197595,6
"1284",197730,6
"1285",197759,7
"1286",198167,7
"1287",198257,NA
"1288",198339,NA
"1289",198470,NA
"1290",198691,1.5
"1291",198902,3.25
"1292",198956,7
"1293",199009,6
"1294",199029,7
"1295",199244,6
"1296",199261,NA
"1297",199361,6
"1298",199446,7
"1299",199520,6
"1300",199636,5
"1301",199663,1.5
"1302",199760,1.5
"1303",199782,1.5
"1304",199897,5
"1305",200095,7
"1306",200278,NA
"1307",200372,NA
"1308",200588,1.5
"1309",200773,1.5
"1310",200804,5
"1311",200860,4
"1312",200905,1.5
"1313",200957,1.5
"1314",201151,6
"1315",201327,1.5
"1316",201425,5
"1317",201431,7
"1318",202138,NA
"1319",202394,6
"1320",202487,7
"1321",202489,NA
"1322",202506,1.5
"1323",202606,7
"1324",202635,NA
"1325",202677,5
"1326",202713,5
"1327",202879,4
"1328",203050,5
"1329",203066,5
"1330",203108,5
"1331",203149,4
"1332",203481,5
"1333",203568,5
"1334",203640,5
"1335",203707,4
"1336",203963,6
"1337",204117,NA
"1338",204182,4
"1339",204410,7
"1340",204505,5
"1341",204609,6
"1342",204725,4
"1343",204738,7
"1344",204745,6
"1345",204746,5
"1346",204996,6
"1347",205350,5
"1348",205398,6
"1349",205425,7
"1350",205442,7
"1351",205494,4
"1352",205719,4
"1353",205788,6
"1354",206003,7
"1355",206245,7
"1356",206342,4
"1357",206599,5
"1358",226374,5
"1359",226747,7
"1360",226827,6
"1361",226839,5
"1362",226879,7
"1363",226890,6
"1364",226895,3.13
"1365",226955,6
"1366",227020,4
"1367",227192,5
"1368",227297,5
"1369",227401,4
"1370",227416,4
"1371",227491,NA
"1372",227499,6
"1373",227517,4
"1374",227752,1.5
"1375",227826,NA
"1376",228021,6
"1377",228082,6
"1378",228138,6
"1379",228153,1.5
"1380",228222,4
"1381",228242,5
"1382",228258,4
"1383",228272,4
"1384",228373,4
"1385",228383,5
"1386",228481,6
"1387",228633,6
"1388",228695,2.5
"1389",228703,6
"1390",228729,7
"1391",228775,4
"1392",228784,6
"1393",228824,5
"1394",228888,6
"1395",228909,NA
"1396",229057,1.5
"1397",229179,5
"1398",229240,5
"1399",229326,NA
"1400",229361,6
"1401",229417,4
"1402",229426,6
"1403",229498,7
"1404",230052,NA
"1405",230081,5
"1406",230279,5
"1407",230383,5
"1408",230510,4
"1409",230684,5
"1410",230761,4
"1411",230947,6
"1412",231017,6
"1413",231019,1.5
"1414",231024,4
"1415",231320,NA
"1416",231339,7
"1417",231554,5
"1418",231572,4
"1419",231606,4
"1420",231959,2
"1421",231973,NA
"1422",232072,1.5
"1423",232078,1.33
"1424",232173,5
"1425",232286,5
"1426",232307,5
"1427",232347,6
"1428",232480,6
"1429",232539,7
"1430",232660,7
"1431",232675,4
"1432",232695,6
"1433",232764,1.88
"1434",232827,7
"1435",232833,NA
"1436",232856,7
"1437",233087,7
"1438",233095,5
"1439",233102,6
"1440",233153,6
"1441",233311,7
"1442",233317,5
"1443",233335,6
"1444",233389,6
"1445",233444,NA
"1446",233685,6
"1447",233752,6
"1448",233771,6
"1449",233868,2.5
"1450",233873,5
"1451",233957,7
"1452",234068,5
"1453",234196,NA
"1454",234311,5
"1455",234406,4
"1456",234552,6
"1457",234559,4
"1458",234609,6
"1459",234661,3.5
"1460",234727,7
"1461",234740,4
"1462",234796,6
"1463",234859,5
"1464",234929,5
"1465",234978,7
"1466",235068,4
"1467",235097,5
"1468",235131,NA
"1469",235371,5
"1470",235380,5
"1471",235428,1.07
"1472",235492,7
"1473",235507,1.71
"1474",235584,4
"1475",235670,6
"1476",235706,7
"1477",235747,NA
"1478",235768,6
"1479",235777,NA
"1480",235893,7
"1481",235971,7
"1482",235978,6
"1483",236015,NA
"1484",236090,4
"1485",236161,5
"1486",236205,6
"1487",236284,6
"1488",236498,1.5
"1489",236620,5.5
"1490",236844,6
"1491",236848,5
"1492",236857,4
"1493",236875,1.5
"1494",236953,6
"1495",237182,6
"1496",237274,5
"1497",237304,5
"1498",237370,NA
"1499",237387,NA
"1500",237401,6
"1501",237602,6
"1502",237808,4
"1503",237891,5
"1504",237913,5.5
"1505",237921,7
"1506",237934,5
"1507",237953,4
"1508",238007,6
"1509",238144,5
"1510",238150,7
"1511",238255,NA
"1512",238519,NA
"1513",238800,1.5
"1514",238901,6
"1515",238983,6
"1516",239095,6
"1517",239345,7
"1518",239459,5
"1519",239540,4
"1520",239707,NA
"1521",239748,5
"1522",239751,6
"1523",239908,6
"1524",240024,5
"1525",240186,6
"1526",240236,1.5
"1527",240389,NA
"1528",240486,3.75
"1529",240641,5
"1530",240712,6
"1531",240755,3.43
"1532",240884,4
"1533",240936,6
"1534",240993,6
"1535",241039,5
"1536",241066,4
"1537",241166,4
"1538",241338,5
"1539",241649,6
"1540",241728,7
"1541",241729,4
"1542",241769,NA
"1543",241771,1.5
"1544",241922,4
"1545",241955,1.5
"1546",242149,1.6
"1547",242254,4
"1548",242390,6
"1549",242472,5
"1550",242491,7
"1551",242633,4
"1552",242636,1.5
"1553",242778,3.5
"1554",242793,6
"1555",242858,6.5
"1556",242893,NA
"1557",242998,7
"1558",243025,4
"1559",243358,4
"1560",243372,4
"1561",243396,4
"1562",243510,1.5
"1563",243600,6
"1564",243657,7
"1565",243851,6
"1566",243909,4
"1567",243926,4
"1568",243992,5
"1569",244064,6
"1570",244114,5
"1571",244166,4
"1572",244205,6
"1573",244246,5
"1574",244738,6.5
"1575",244816,NA
"1576",244875,5
"1577",244902,NA
"1578",244918,7
"1579",244919,NA
"1580",244961,6
"1581",244977,6.5
"1582",245217,2.06
"1583",245283,6
"1584",245316,7
"1585",245404,5
"1586",245494,3
"1587",245600,7
"1588",245605,7
"1589",245653,7
"1590",245784,4
"1591",245802,6
"1592",245946,1.5
"1593",245987,4
"1594",246060,7
